Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000002684119AAF0>>,01,2016-01,77.5,77.94,76.46,77.46,20400100.0,60.14,0.0,60.14,60.14
2016-01-05,2016,1,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000002684119AAF0>>,01,2016-01,77.19,78.14,76.92,78.12,11993500.0,60.65,0.00852081381964398,60.394999999999996,60.394999999999996
2016-01-06,2016,1,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000002684119AAF0>>,01,2016-01,76.64,77.64,76.59,77.47,18826900.0,60.14,-0.00832051221653618,60.31,60.31
2016-01-07,2016,1,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000002684119AAF0>>,01,2016-01,76.06,77.99,75.9,76.23,21263800.0,59.18,-0.01600641710388795,60.0275,60.0275
2016-01-08,2016,1,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000002684119AAF0>>,01,2016-01,76.35,76.65,74.5,74.69,19033600.0,57.99,-0.02020194728110236,59.620000000000005,59.620000000000005
2016-01-11,2016,1,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000002684119AAF0>>,02,2016-02,75.01,75.12,72.56,73.69,21353000.0,57.21,-0.01338887504095998,59.218333333333334,59.218333333333334
2016-01-12,2016,1,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000002684119AAF0>>,02,2016-02,74.12,75.42,73.15,75.2,21864100.0,58.38,0.02049147890351244,59.098571428571425,59.098571428571425
2016-01-13,2016,1,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000002684119AAF0>>,02,2016-02,75.85,77.06,74.94,75.65,26052700.0,58.73,0.005984073832849379,59.0525,59.0525
2016-01-14,2016,1,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000002684119AAF0>>,02,2016-02,76.21,79.92,75.8,79.12,33806700.0,61.43,0.0458690867257705,59.31666666666667,59.31666666666667
2016-01-15,2016,1,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000002684119AAF0>>,02,2016-02,76.33,78.17,76.3,77.58,28342100.0,60.23,-0.019464281699804298,59.408,59.408
